name,Postcode,Type,Provider,OrganisationType,Latitude,Longitude
Royal Freemasons - Elizabeth Gardens Nursing Home,3125,Residential,Royal Freemasons Ltd,Charitable,-37.85812779,145.0957599
Darlingford Upper Goulburn Nursing Home,3713,Residential,Darlingford Upper Goulburn Nursing Home Inc,Community Based,-37.22992633,145.9133686
Caladenia Nursing Home,3764,Residential,The Kilmore & District Hospital,State Government,-37.30054088,144.9547589
Cumberland View Aged Care - Windmill Court,3150,Residential,Arton Retirement Villages Pty Limited,Private Incorporated Body,-37.921405,145.191639
Carinya Nursing Home (Frankston Extended Care),3199,Residential,Peninsula Health,State Government,-38.1743498,145.1499876
Baptcare Wyndham Lodge Community,3030,Residential,Baptcare Ltd,Religious,-37.90682,144.653546
Craigcare Mornington,3934,Residential,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,-38.27290551,145.0333894
Yarraman Nursing Home,3174,Residential,Monash Health,State Government,-37.977285,145.180886
Koraleigh Nursing Home,3621,Residential,Tongala & District Memorial Aged Care Service Inc,Community Based,-36.247725,144.95768
Bill Crawford Lodge,3350,Residential,Ballarat Health Services,State Government,-37.56235611,143.8435707
St Elmo's Nursing Home,3971,Residential,Yarram & District Health Service,State Government,-38.55696178,146.6777133
Warrawee Nursing Home,3165,Residential,City of Glen Eira,Local Government,-37.92309288,145.0729946
Alan David Lodge,3216,Residential,Barwon Health,State Government,-38.215835,144.338687
Moyne Health Services-Belfast House,3284,Residential,Moyne Health Services,State Government,-38.38065757,142.2273113
P.S. Hobson Nursing Home,3355,Residential,Ballarat Health Services,State Government,-37.53624453,143.8230302
Opal Sale,3850,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-38.091887,147.067217
Omeo District Health,3898,Residential,Omeo District Health,State Government,-37.0981436,147.5964817
Cyril Jewell House,3033,Residential,Melbourne Health,State Government,-37.7373254,144.8578199
Boyne Russell House,3056,Residential,Melbourne Health,State Government,-37.767964,144.969508
Creswick District Nursing Home,3363,Residential,Hepburn Health Service,State Government,-37.42063685,143.8916749
Beaufort Nursing Home,3373,Residential,Beaufort & Skipton Health Service,State Government,-37.42842713,143.3796598
Merv Irvine Nursing Home,3083,Residential,Melbourne Health,State Government,-37.70096938,145.0576404
Estia Health Benalla,3673,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-36.5577,145.996076
Regis Blackburn,3130,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.82393016,145.1599185
Benetas St George's,3028,Residential,Anglican Aged Care Services Group,Religious,-37.87881045,144.7813232
Royal Freemasons - Monash Gardens Nursing Home,3170,Residential,Royal Freemasons Ltd,Charitable,-37.91906083,145.1654792
Hesse Rural Health Service Nursing Home,3241,Residential,Hesse Rural Health Service,State Government,-38.243425,143.9849397
The Homestead Residential Aged Care,3222,Residential,T L C Homes Pty Ltd,Private Incorporated Body,-38.22112476,144.5365686
Mercy Place Montrose (Nursing Home),3765,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.81400589,145.3515414
Whittlesea Lodge,3757,Residential,Arcanola Pty Ltd,Private Incorporated Body,-37.50933476,145.1162029
St John's Retirement Village Nursing Home,3677,Residential,Trustees of the Anglican Diocese of Wangaratta,Religious,-36.34604148,146.2977312
Estia Health Yarra Valley,3797,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.78485395,145.6119676
Bupa Edithvale,3196,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.04313163,145.1119199
Mooroolbark Aged Persons Mental Health Residential Care Facility,3138,Residential,Eastern Health,State Government,-37.7926077,145.316936
Riverside House,3121,Residential,St Vincent's Hospital (Melbourne) Limited,Charitable,-37.8146661,145.0123478
Auburn House,3123,Residential,St Vincent's Hospital (Melbourne) Limited,Charitable,-37.827452,145.051907
HammondCare - Namarra Nursing Home,3162,Residential,HammondCare,Charitable,-37.883267,145.015568
Skipton Nursing Home,3361,Residential,Beaufort & Skipton Health Service,State Government,-37.68462815,143.3666776
Brimlea Aged Care,3163,Residential,Five Star Care Pty Ltd,Private Incorporated Body,-37.8920687,145.0699853
Illoura - Residential Aged Care,3677,Residential,Northeast Health Wangaratta,State Government,-36.33807049,146.3098504
Golden Oaks Nursing Home,3555,Residential,Bendigo Health Care Group,State Government,-36.781461,144.256093
Goonawarra Aged Care Facility,3429,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.57695101,144.7195688
Royal Freemasons - Gregory Lodge,3031,Residential,Royal Freemasons Ltd,Charitable,-37.78621024,144.9269375
Regis Fawkner,3060,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.70704442,144.9634286
Bambra House Nursing Home,3161,Residential,Hickory Downs Pty Ltd,Private Incorporated Body,-37.874417,145.031007
Opal Bairnsdale,3875,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-37.8375667,147.5960276
Country Club Lodge,3936,Residential,Buehler Aged Care Pty Ltd,Private Incorporated Body,-38.328103,144.988119
Andrina Aged Care,3201,Residential,Kwok Nominees Pty Ltd,Private Incorporated Body,-38.099033,145.183776
Opal Paynesville,3880,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-37.90661685,147.7212845
BlueCross Darnlee,3142,Residential,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,-37.838166,145.016188
Plumpton Villa Aged Care Facility,3046,Residential,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,-37.70894582,144.9211046
Anzac Lodge Private Nursing Home,3058,Residential,Java Dale Pty Ltd,Private Incorporated Body,-37.72251655,144.9642427
Fronditha Anesi Aged Care Services - Thornbury,3071,Residential,Fronditha Care,Community Based,-37.764523,145.020785
Holmwood Aged Care Facility,3777,Residential,Bonnie Bridge Pty Ltd,Private Incorporated Body,-37.661942,145.515986
Mary Guthrie House Nursing Home,3101,Residential,Austin Health,State Government,-37.78991843,145.0259057
Clarinda Manor,3169,Residential,Buehler Aged Care Pty Ltd,Private Incorporated Body,-37.93121151,145.1068729
Swan Hill District (Nyah Campus),3595,Residential,Swan Hill District Health,State Government,-35.18593164,143.3574405
Ballan Nursing Home,3342,Residential,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,-37.59918085,144.2226728
Baptcare - St Hilary's Community,3840,Residential,Baptcare Ltd,Religious,-38.23903099,146.391074
BlueCross Riverlea,3034,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.75275,144.8539
BlueCross Ashby,3107,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.76156736,145.1201401
Opal South Valley,3216,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-38.1940843,144.3163111
Bupa Caulfield,3162,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.90223408,145.028305
Montclaire,3186,Residential,Allity Pty Ltd,Private Incorporated Body,-37.902394,145.003978
Barongarook Gardens,3250,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.33876767,143.5946171
Viewhills Manor,3802,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.9752905,145.2761453
Mary MacKillop Aged Care,3123,Residential,Sisters of St Joseph Health Care Services (Vic),Religious,-37.83177077,145.0538478
BlueCross Broughtonlea,3127,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.827812,145.104246
BlueCross Glengowrie,3046,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.70384033,144.9553432
Bupa Bendigo,3550,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-36.73439989,144.2811227
Elanora,3186,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.92954665,144.9919056
Kelaston,3355,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.53596427,143.8257695
Regis Cranbourne,3977,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-38.13667448,145.2920234
Myrtleford Lodge Aged Care,3737,Residential,Bentley-Wood Pty Ltd,Private Incorporated Body,-36.55698173,146.7213697
Olivet Aged Persons Home,3134,Residential,Christadelphian Welfare Association (Vic) Inc,Charitable,-37.8082798,145.239962
Baptcare - Hedley Sutton Community,3124,Residential,Baptcare Ltd,Religious,-37.82171841,145.0626288
Baptcare - Karana Community,3101,Residential,Baptcare Ltd,Religious,-37.8017417,145.0312585
BlueCross Silverwood,3106,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.752514,145.136153
Tabulam & Templer Home for the Aged,3153,Residential,Tabulam & Templer Homes for the Aged Inc,Community Based,-37.8552364,145.2625201
Sutton Park Assisted Aged Care,3338,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-37.71585236,144.5729397
Lifeview The Willows,3150,Residential,Farwell Nominees Pty Ltd,Private Incorporated Body,-37.907797,145.188659
Baptcare - Strathalan Community,3085,Residential,Baptcare Ltd,Religious,-37.728109,145.076809
Glengollan Village,3156,Residential,Glengollan Village,Community Based,-37.874463,145.294564
Uniting AgeWell Strathdon Community,3131,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.84291666,145.172682
Lifeview Emerald Glades,3782,Residential,Farwell Nominees Pty Ltd,Private Incorporated Body,-37.925897,145.442624
Costa House,3212,Residential,Karingal St Laurence Limited,Charitable,-38.0265043,144.4034817
Bupa Barrabool,3216,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.1660727,144.3367079
Beechworth Health Service Residential Care Program,3747,Residential,Beechworth Health Service,State Government,-36.3500662,146.690617
Lexington Gardens,3171,Residential,Allity Pty Ltd,Private Incorporated Body,-37.9482271,145.1421503
Fronditha Clayton Aged Care,3169,Residential,Fronditha Care,Community Based,-37.936301,145.108061
Amberlea Aged Care Facility,3818,Residential,Alliance Care Services Pty Ltd,Private Incorporated Body,-38.13869041,145.8534714
Estia Health Werribee,3030,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.90839788,144.6649246
BlueCross Chelsea Manor,3196,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-38.04918021,145.123058
Opal by the Bay,3934,Residential,Domain Aged Care (Victoria) Pty Ltd,Private Incorporated Body,-38.25034983,145.0588593
Aurrum Reservoir,3073,Residential,Aurrum Pty Limited,Private Incorporated Body,-37.70366673,145.0179883
Estia Health Plenty Valley,3752,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.652707,145.087432
SomerCare,3912,Residential,Somerville Care Pty Ltd,Private Incorporated Body,-38.225146,145.168229
BlueCross Monterey,3046,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.7018096,144.9153493
Regis Dandenong North,3175,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.954412,145.196679
Fronditha Thalpori Aged Care Services - St Albans,3021,Residential,Fronditha Care,Community Based,-37.76036474,144.8105657
BlueCross Western Gardens,3020,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.7921242,144.8277317
Kronstadt Gardens,3175,Residential,RusCare Ltd,Religious,-37.996775,145.202887
Ruckers Hill Aged Care Facility,3070,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.778446,144.997644
Craigcare Moonee Ponds,3039,Residential,Glenn-Craig Villages Pty Ltd,Private Incorporated Body,-37.76446185,144.9120431
Alpine - Myrtleford MPS,3737,Multi-Purpose Service,Alpine Health,State Government,-36.55454457,146.7275267
The Belmont Residential Aged Care,3216,Residential,Western Residential Aged Care Pty Ltd,Private Incorporated Body,-38.1779266,144.3399375
Glanville Village,3564,Residential,Echuca Regional Health,State Government,-36.13819716,144.7488185
Regis Brighton,3186,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.906534,145.005299
Casey Manor Hostel,3805,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-38.06493873,145.2983439
Victoria Grange Residential Aged Care Facility,3133,Residential,Australian Unity Care Services Pty Ltd,Private Incorporated Body,-37.85926655,145.1851403
Mallee Track - Ouyen MPS,3490,Multi-Purpose Service,Mallee Track Health and Community Service,State Government,-35.07372131,142.3131705
Orbost MPS,3888,Multi-Purpose Service,Orbost Regional Health,State Government,-37.701717,148.465536
Otway Health MPS,3233,Multi-Purpose Service,Otway Health,State Government,-38.753898,143.664614
Corryong MPS,3707,Multi-Purpose Service,Corryong Health,State Government,-36.198536,147.903413
Heritage Gardens,3153,Residential,Heritage Care Pty Ltd,Private Incorporated Body,-37.832706,145.267072
Riddell Gardens Hostel,3429,Residential,Allity Pty Ltd,Private Incorporated Body,-37.561983,144.716132
Timboon & District Healthcare Service MPS,3268,Multi-Purpose Service,Timboon & District Healthcare Service,State Government,-38.486257,142.977132
Robinvale MPS,3549,Multi-Purpose Service,Robinvale District Health Services,State Government,-34.584114,142.781005
Bupa Berwick,3804,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.99402565,145.3115617
Bupa Greensborough,3088,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.681083,145.122106
BlueCross Hansworth,3170,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.933333,145.188393
Scottvale Aged Care,3175,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-37.98586176,145.2056229
Estia Health Wodonga,3690,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-36.13607,146.861775
Ranelagh Gardens,3930,Residential,Mali Nominees Pty Ltd,Private Incorporated Body,-38.178869,145.095695
Emerald Terrace Aged Care,3106,Residential,Orollo Pty Ltd,Private Incorporated Body,-37.760725,145.146066
CCSSCI - On Luck Chinese Nursing Home,3111,Residential,Chinese Community Social Services Centre Inc,Community Based,-37.772159,145.19778
Langford Grange,3977,Residential,Wickro Pty Ltd,Private Incorporated Body,-38.11293475,145.3003593
Doutta Galla Avondale Heights Aged Care Facility,3034,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.75727679,144.8520216
BlueCross Tarralla,3136,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.79517601,145.2892177
Greenway Gardens,3135,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.83624843,145.2504237
Fronditha Lower Templestowe,3107,Residential,Fronditha Care,Community Based,-37.7555231,145.1158216
Drysdale Grove,3222,Residential,Drysdale Aged Care Pty Ltd,Private Incorporated Body,-38.17284355,144.5677592
Arcare Burnside,3023,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.75697169,144.7543549
Wintringham Ron Conn Nursing Home,3034,Residential,Wintringham,Charitable,-37.765559,144.85954
Sea Views Manor,3226,Residential,Wickro Pty Ltd,Private Incorporated Body,-38.25295665,144.5520074
Chaffey Aged Care,3505,Residential,Chaffey Aged Care Inc,Community Based,-34.16936771,142.0585691
Woods Point Aged Care,3730,Residential,Bentley-Wood Pty Ltd,Private Incorporated Body,-36.0131729,146.0139638
Arcare Epping,3076,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.6484428,145.0651095
Heritage Manor Aged Care,3840,Residential,Amberlea Residences Pty Ltd,Private Incorporated Body,-38.22138095,146.4158043
Estia Health South Morang,3752,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.6472919,145.091151
Lynbrook Park,3975,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-38.04546333,145.2604346
St Andrews Hostel,3022,Residential,The Community of Cypriots of the Northern Suburbs of Melbourne Inc,Community Based,-37.783663,144.812239
Anglesea Residential Aged Care Facility,3230,Residential,Japara Aged Care Services Pty Ltd,Private Incorporated Body,-38.40538434,144.1795727
Northern Gardens Aged Care,3056,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-37.75583355,144.9638549
Arcare Maidstone,3012,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.77797669,144.8761356
Park Lane Croydon,3136,Residential,Norsan Pty Ltd,Private Incorporated Body,-37.781434,145.286509
Bethel Aged Care,3082,Residential,Java Dale Pty Ltd,Private Incorporated Body,-37.65528654,145.0821508
Estia Health Bannockburn,3331,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-38.03713715,144.165505
Grossard Court,3922,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-38.4599165,145.2320012
BlueCross The Boulevard,3082,Residential,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,-37.65720855,145.0824852
Churches of Christ Care Arcadia Aged Care Service Essendon,3040,Residential,Churches of Christ in Queensland,Religious,-37.74288876,144.9048854
Mercy Place East Melbourne,3002,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.81238564,144.9841732
Noble Manor Residential Aged Care,3174,Residential,Great Oaks Pty Ltd,Private Incorporated Body,-37.967918,145.173174
Regis Frankston,3199,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-38.140431,145.14785
Camberwell Gardens,3124,Residential,Menarock Aged Care Services (Victoria) Pty Ltd,Private Incorporated Body,-37.83901925,145.0884076
Sunlight Residential Aged Care,3757,Residential,TLC Whittlesea Pty Ltd,Private Incorporated Body,-37.514719,145.118274
Rosebrook,3939,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-38.37747394,144.9163818
Victoria by the Park,3185,Residential,Provectus Care Pty Limited,Private Incorporated Body,-37.887482,145.010079
Arcare Carnegie,3163,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.8990795,145.0615868
Westgarth Aged Care Facility,3070,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.78187025,145.0035066
BlueCross Karinya Grove,3191,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.95534165,145.0286573
Casey Aged Care,3805,Residential,Aged Care Group Pty Ltd,Private Incorporated Body,-38.04165551,145.305012
BlueCross Willowmeade,3764,Residential,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,-37.2951701,144.945046
mecwacare Malvern Centre,3144,Residential,MECWA,Community Based,-37.85211635,145.0348738
BlueCross Baradine,3138,Residential,Blue Cross Community Care Services (Toorak) Pty Ltd,Private Incorporated Body,-37.781481,145.317245
Wintringham Eunice Seddon Home,3175,Residential,Wintringham,Charitable,-37.98166649,145.2063782
Villa Maria Catholic Homes Corpus Christi Aged Care Residence,3168,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.91395719,145.1218766
Princeton View,3187,Residential,Allity Pty Ltd,Private Incorporated Body,-37.92726797,145.0080003
Austin Health Transition Care Program,3084,Transition Care,Department of Health,State Government,-37.75667619,145.0592495
Alfred Health Transition Care Program,3162,Transition Care,Department of Health,State Government,-37.88440165,145.015475
Eastern Health Transition Care Program,3134,Transition Care,Department of Health,State Government,-37.811381,145.2271407
Melbourne Health Transition Care Program,3052,Transition Care,Department of Health,State Government,-37.7769761,144.9493217
Northern Health Transition Care Program,3072,Transition Care,Department of Health,State Government,-37.746105,145.010058
Peninsula Health Transition Care Program,3199,Transition Care,Department of Health,State Government,-38.15296,145.13255
St Vincent's Health Transition Care Program,3101,Transition Care,Department of Health,State Government,-37.8092826,145.0533784
Western Health Transition Care Program,3011,Transition Care,Department of Health,State Government,-37.78723,144.890255
Monash Health Transition Care Program,3192,Transition Care,Department of Health,State Government,-37.952403,145.076832
Barwon Health Transition Care Program,3220,Transition Care,Department of Health,State Government,-38.152685,144.371975
Iris Lovett Gardiner Centre (ACES),3057,National Aboriginal and Torres Strait Islander Aged Care Program,Aboriginal Community Elders Services Inc,Community Based,-37.7637152,144.9814677
MSV-Changing Needs,3087,Innovative Pool,Multiple Sclerosis Limited,Charitable,-37.71549353,145.0811209
Lifeview Willow Wood,3977,Residential,Farwell Nominees Pty Ltd,Private Incorporated Body,-38.10233435,145.2653221
Ballarat Health Transition Care Program,3350,Transition Care,Department of Health,State Government,-37.56363068,143.8436027
Bendigo Health Transition Care Program,3550,Transition Care,Department of Health,State Government,-36.749391,144.284343
The Gables Aged Care Facility,3124,Residential,Sapphire Care Pty Ltd,Private Incorporated Body,-37.832379,145.066985
Bupa Kyneton,3444,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.25624865,144.4615405
Newmans on the Park,3106,Residential,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,-37.751731,145.15301
Mercy Place Parkville,3052,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.77668443,144.9389363
Bupa Clayton,3168,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.92661785,145.1160159
Villa Maria Catholic Homes Shanagolden Aged Care Residence,3810,Residential,Villa Maria Catholic Homes Limited,Charitable,-38.08726274,145.479803
Regis Armadale,3143,Residential,Regis Aged Care Pty Ltd,Private Incorporated Body,-37.86544846,145.0265627
Mercy Place Warrnambool,3280,Residential,Mercy Aged and Community Care Ltd,Charitable,-38.36906508,142.4736689
Goulburn Valley Health Transition Care Program,3630,Transition Care,Department of Health,State Government,-36.36263801,145.4057688
Chestnut Gardens Aged Care Home,3177,Residential,Monash Health,State Government,-37.995301,145.23294
Forest Lodge Residential Aged Care,3200,Residential,Great Oaks Pty Ltd,Private Incorporated Body,-38.12255676,145.1464284
Bupa Mildura,3500,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-34.20920576,142.1340306
Bupa Eastwood,3875,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-37.81184645,147.6382736
Bupa Portland,3305,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.36363866,141.6139785
Florence Aged Care Facility,3025,Residential,Softwood Ridge Pty Ltd,Private Incorporated Body,-37.83924966,144.8522263
Latrobe Regional Health Transition Care Program,3844,Transition Care,Department of Health,State Government,-38.219664,146.472012
Melbourne Hebrew Memorial Nursing Home,3162,Residential,Jewish Care (Victoria) Inc,Religious,-37.88672485,145.0298103
Banksia Lodge Residential Aged Care Service,3631,Residential,Shepparton Retirement Villages Inc,Charitable,-36.41777434,145.3999268
Doutta Galla Footscray Aged Care Facility,3011,Residential,Doutta Galla Aged Services Ltd,Charitable,-37.79729385,144.8946732
BlueCross Scotchmans Creek,3149,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.885804,145.135314
Banfields Aged Care,3922,Residential,Australian Aged Care Group Pty Ltd,Private Incorporated Body,-38.45972471,145.2386062
The Heights Donvale,3111,Residential,TLC Melbourne Pty Ltd,Private Incorporated Body,-37.793878,145.177082
Aurrum Healesville,3777,Residential,Aurrum Pty Limited,Private Incorporated Body,-37.660788,145.508788
Peninsula Grange Aged Care,3931,Residential,Australian Unity Care Services Pty Ltd,Private Incorporated Body,-38.229657,145.069323
Rathdowne Place,3053,Residential,Australian Unity Care Services Pty Ltd,Private Incorporated Body,-37.7935903,144.9709125
Arcare Point Lonsdale,3225,Residential,Arcare Pty Ltd,Private Incorporated Body,-38.2670131,144.618483
South West Healthcare Transition Care Program,3280,Transition Care,Department of Health,State Government,-38.3788621,142.4749864
Mildura Base Hospital Transition Care Program,3502,Transition Care,Department of Health,State Government,-34.18500958,142.1444455
Havilah on Palmerston,3465,Residential,Havilah Hostel Inc,Community Based,-37.04603181,143.7341076
Werribee Mercy Hospital Transition Care Program,3030,Transition Care,Department of Health,State Government,-37.886196,144.6991
Western District Health Service Transition Care Program,3300,Transition Care,Department of Health,State Government,-37.73815998,142.0307482
Rumbalara Multi-Aged Care Complex,3631,National Aboriginal and Torres Strait Islander Aged Care Program,Rumbalara Aboriginal Co-operative Ltd,Community Based,-36.3465503,145.4155919
Arcare Caulfield,3161,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.873832,145.017107
Water Gardens,3037,Residential,Heritage Care Pty Ltd,Private Incorporated Body,-37.702866,144.7751777
Point Cook Manor,3030,Residential,Homestyle Point Cook Pty Ltd,Private Incorporated Body,-37.891946,144.725371
Baptcare Brookview Community,3049,Residential,Baptcare Ltd,Religious,-37.673926,144.910137
Arcare Keysborough,3173,Residential,Arcare Pty Ltd,Private Incorporated Body,-38.00177182,145.1678861
Moran Roxburgh Park,3064,Residential,Moran Australia (Residential Aged Care) Pty Limited,Private Incorporated Body,-37.61991585,144.9356185
Portland District Health Transition Care Program,3305,Transition Care,Department of Health,State Government,-38.34120331,141.6051897
Bupa Traralgon,3844,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-38.1812792,146.5507244
Bupa Echuca,3564,Residential,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,-36.15500235,144.7324037
Bentons Lodge - Residential Aged Service,3931,Residential,Autumn Care Pty Ltd,Private Incorporated Body,-38.248209,145.054267
Hepburn House,3460,Residential,Daylesford Aged Care Services Pty Ltd,Private Incorporated Body,-37.32946955,144.1453491
Aurrum Plenty,3090,Residential,Aurrum Pty Limited,Private Incorporated Body,-37.677151,145.12532
Embracia Moonee Valley,3034,Residential,Embracia Victoria Pty Ltd,Private Incorporated Body,-37.75533995,144.8554162
Ocean Mist Aged Care,3228,Residential,OC Health Torquay Pty Ltd,Private Incorporated Body,-38.317456,144.278626
Arcare Craigieburn,3064,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.58408039,144.9064788
BlueCross Highgrove,3101,Residential,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.809261,145.017566
Estia Health Glen Waverley,3150,Residential,Estia Investments Pty Ltd,Private Incorporated Body,-37.87926529,145.1563914
Albury Wodonga Health Residential Care Program,3747,Residential,Albury Wodonga Health,State Government,-36.3500662,146.690617
Kerala Manor,3089,Residential,Samkay Health Pty Ltd,Private Incorporated Body,-37.66392524,145.1631847
Arcare Parkview Malvern East,3145,Residential,Arcare Pty Ltd,Private Incorporated Body,-37.8849726,145.073645
AccessCare Southern,3194,Home Care,Kingston City Council,Local Government,-37.98442286,145.0635266
AccessCare Southern,3194,Home Care,Kingston City Council,Local Government,-37.98442286,145.0635266
AGWS Community Aged Care Packages - Northern Region,3056,Home Care,Australian Greek Welfare Society Ltd,Community Based,-37.774272,144.959745
AGWS Community Aged Care Packages - Western Region,3056,Home Care,Australian Greek Welfare Society Ltd,Community Based,-37.774272,144.959745
Alfred Health,3162,Home Care,Alfred Health,State Government,-37.88440165,145.015475
Alfred Health EACHD,3162,Home Care,Alfred Health,State Government,-37.88440165,145.015475
Alpine Health,3741,Home Care,Alpine Health,State Government,-36.733341,146.966489
Andrew Kerr Care - Home Care Packages,3931,Home Care,Andrew Kerr Care Ltd,Community Based,-38.218926,145.044644
Anne Caudle Campus,3550,Home Care,Bendigo Health Care Group,State Government,-36.75150438,144.2808169
annecto CACP - Grampians Region,3058,Home Care,annecto Inc,Charitable,-37.749184,144.96502
annecto CACP - Western Metropolitan Region,3013,Home Care,annecto Inc,Charitable,-37.81522665,144.8819183
Annecto HCP Program Eastern Region - Level 2,3134,Home Care,annecto Inc,Charitable,-37.812089,145.227127
Annecto HCP Program Loddon Mallee Region - Level 1,3500,Home Care,annecto Inc,Charitable,-34.1882549,142.1562233
Annecto HCP Program Loddon Mallee Region - Level 2,3500,Home Care,annecto Inc,Charitable,-34.1882549,142.1562233
annecto Community Aged Care Packages Northern Metro Region,3058,Home Care,annecto Inc,Charitable,-37.749184,144.96502
Annecto HCP Program Eastern Region - Level 4,3134,Home Care,annecto Inc,Charitable,-37.812089,145.227127
Annecto HCP Program Loddon Mallee Region - Level 3,3500,Home Care,annecto Inc,Charitable,-34.1882549,142.1562233
annecto EACH - Western Metropolitan Region,3013,Home Care,annecto Inc,Charitable,-37.81522665,144.8819183
Annecto Grampians Region,3058,Home Care,annecto Inc,Charitable,-37.749184,144.96502
Annecto NMR,3058,Home Care,annecto Inc,Charitable,-37.749184,144.96502
Annecto HCP Program Eastern Region - Level 1,3134,Home Care,annecto Inc,Charitable,-37.812089,145.227127
Annecto HCP Program Loddon Mallee Region - Level 4,3500,Home Care,annecto Inc,Charitable,-34.1882549,142.1562233
